,coupe,pickup,sedan,suv,crossover
591,1250,821,428,1082,208
592,962,793,431,998,199
593,1160,763,429,997,197
594,1015,725,418,1012,193
595,946,755,431,1060,197
596,1020,775,434,1112,212
597,1174,775,442,1202,210
598,1010,873,434,1158,214
599,924,777,423,971,200
600,918,750,415,947,197
601,923,739,417,942,198
602,933,743,429,977,202
603,988,776,433,1041,208
604,1068,771,440,1139,206
605,763,551,268,702,123
